date_time	status	id	punnet_count	image_path	berry_count	berry_grade	reject_count	min_distance	max_distance
2016-09-23	Fail	1287	1287	1287	1287	0	0	1287	1287
2016-09-26	Fail	2945	2945	2945	2945	0	0	2945	2945
2016-09-27	Fail	2491	2491	2491	2491	0	0	2491	2491
2016-09-29	Fail	11030	11030	11030	11030	0	0	11030	11030
2016-09-30	Fail	3278	3278	3278	3278	0	0	3278	3278
2016-09-30	Pass	4298	4298	4298	4298	0	0	4298	4298
2016-10-06	Fail	428	428	428	428	0	0	428	428
2016-10-07	Fail	283	283	283	283	0	0	283	283
2016-10-07	Pass	277	277	277	277	0	0	277	277
2016-10-20	Fail	748	748	748	748	0	0	748	748
2016-11-16	Fail	961	961	961	961	0	0	961	961
2016-11-16	Pass	477	477	477	477	0	0	477	477
2016-11-22	Pass	1615	1615	1615	1615	0	0	1615	1615
2016-11-24	Pass	770	770	770	770	0	0	770	770
2016-11-25	Pass	3934	3934	3934	3934	0	0	3934	3934
2016-11-28	Pass	529	529	529	529	0	0	529	529
2016-12-06	Fail	1846	1846	1846	1846	0	0	1846	1846
2016-12-06	Pass	3256	3256	3256	3256	0	0	3256	3256
2016-12-08	Pass	518	518	518	518	0	0	518	518
2016-12-09	Pass	1898	1898	1898	1898	0	0	1898	1898
2016-12-12	Pass	2125	2125	2125	2125	0	0	2125	2125
2016-12-15	Pass	1830	1830	1830	1830	0	0	1830	1830
2016-12-18	Pass	1939	1939	1939	1939	0	0	1939	1939
2016-12-21	Pass	796	796	796	796	0	0	796	796
